tconst	nconst	category	job	characters
tt0000309	nm0164281	actress	\N	["Passenger"]
tt0000309	nm0378408	actor	\N	["Driver"]
tt0000310	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000310	nm0151209	actress	\N	\N
tt0000310	nm0035502	cinematographer	\N	\N
tt0000312	nm0349785	director	\N	\N
tt0000313	nm0809419	actress	\N	["Young woman"]
tt0000313	nm0338379	actor	\N	["Man"]
tt0000313	nm0808310	director	\N	\N
tt0000314	nm0349785	director	\N	\N
tt0000315	nm0349785	director	\N	\N
tt0000316	nm0349785	director	\N	\N
tt0000317	nm0349785	director	\N	\N
tt0000318	nm13155558	actor	\N	\N
tt0000318	nm0804433	actor	\N	["Koechin"]
tt0000318	nm0804434	director	\N	\N
tt0000319	nm1272063	actor	\N	\N
tt0000319	nm1272675	actor	\N	\N
tt0000319	nm0793094	director	\N	\N
tt0000320	nm0349785	director	\N	\N
tt0000321	nm0692105	director	\N	\N
tt0000322	nm0005717	director	\N	\N
tt0000323	nm0349785	director	\N	\N
tt0000324	nm0349785	director	\N	\N
tt0000325	nm0112631	actress	\N	\N
tt0000325	nm0349785	director	\N	\N
tt0000326	nm0112631	actress	\N	\N
tt0000326	nm0349785	director	\N	\N
tt0000327	nm0349785	director	\N	\N
tt0000328	nm0349785	director	\N	\N
tt0000329	nm0349785	director	\N	\N
tt0000330	nm0349785	director	\N	\N
tt0000331	nm0349785	director	\N	\N
tt0000332	nm0349785	director	\N	\N
tt0000333	nm0349785	director	\N	\N
tt0000334	nm0349785	director	\N	\N
tt0000335	nm1010955	actress	\N	\N
tt0000335	nm1012612	actor	\N	\N
tt0000335	nm1011210	actor	\N	\N
tt0000335	nm1012621	actor	\N	\N
tt0000335	nm0095714	director	\N	\N
tt0000335	nm0675140	director	\N	\N
tt0000335	nm0675239	actor	\N	["Lion"]
tt0000335	nm0675260	actor	\N	["Lion"]
tt0000336	nm0349785	director	\N	\N
tt0000337	nm0525910	producer	producer	\N
tt0000338	nm0349785	director	\N	\N
tt0000339	nm0349785	director	\N	\N
tt0000340	nm0542567	actor	\N	["Uncle Josh"]
tt0000340	nm0692105	director	\N	\N
tt0000341	nm0542567	actor	\N	["Uncle Josh"]
tt0000341	nm0692105	director	\N	\N
tt0000342	nm0349785	director	\N	\N
tt0000343	nm0349785	director	\N	\N
tt0000344	nm0349785	director	\N	\N
tt0000345	nm0349785	director	\N	\N
tt0000346	nm0692105	director	\N	\N
tt0000347	nm0168621	actor	\N	\N
tt0000347	nm0035502	cinematographer	\N	\N
tt0000348	nm0349785	director	\N	\N
tt0000349	nm0095816	director	\N	\N
tt0000349	nm0666972	producer	producer	\N
tt0000350	nm0666972	director	\N	\N
tt0000351	nm0462306	actress	\N	\N
tt0000351	nm0815907	actress	\N	\N
tt0000351	nm0349785	director	\N	\N
tt0000352	nm0692105	director	\N	\N
tt0000353	nm0692105	director	\N	\N
tt0000354	nm0182052	director	\N	\N
tt0000355	nm0932055	director	\N	\N
tt0000356	nm0349785	director	\N	\N
tt0000357	nm0095816	director	\N	\N
tt0000357	nm0666972	producer	producer	\N
tt0000358	nm0509806	actor	\N	\N
tt0000358	nm1778194	actor	\N	\N
tt0000358	nm0954087	actor	\N	\N
tt0000359	nm0617588	actor	\N	["The Chemist","The India Rubber Head"]
tt0000360	nm0462306	actress	\N	["La Grisette"]
tt0000360	nm0815907	actress	\N	["Le Hussard"]
tt0000360	nm0349785	director	\N	\N
tt0000361	nm0349785	director	\N	\N
tt0000362	nm0349785	director	\N	\N
tt0000363	nm0095816	director	\N	\N
tt0000363	nm0666972	producer	producer	\N
tt0000364	nm0692105	director	\N	\N
tt0000364	nm0924920	cinematographer	\N	\N
tt0000365	nm0182052	director	\N	\N
tt0000366	nm0182052	director	\N	\N
tt0000367	nm0349785	director	\N	\N
tt0000368	nm1089829	actress	\N	["Little Red Riding Hood"]
tt0000368	nm0617588	director	\N	\N
tt0000368	nm0674518	writer	story "Le petit chaperon rouge"	\N
tt0000369	nm0005717	director	\N	\N
tt0000370	nm8709803	actor	\N	["Ebenezer Scrooge"]
tt0000370	nm0095816	director	\N	\N
tt0000370	nm1304340	writer	play 'Scrooge'	\N
tt0000370	nm0002042	writer	novel "A Christmas Carol"	\N
tt0000370	nm0666972	producer	producer	\N
tt0000371	nm0349785	director	\N	\N
tt0000372	nm0349785	director	\N	\N
tt0000373	nm0954087	director	\N	\N
tt0000374	nm0349785	director	\N	\N
tt0000375	nm0182052	director	\N	\N
tt0000376	nm0466448	actor	\N	\N
tt0000376	nm0617272	actress	\N	["Salome"]
tt0000376	nm0086082	actress	\N	\N
tt0000376	nm0632577	actress	\N	\N
tt0000376	nm0631776	actress	\N	\N
tt0000376	nm0958169	director	\N	\N
tt0000376	nm0670740	writer	\N	\N
tt0000376	nm0449435	composer	\N	\N
tt0000376	nm0078562	actress	\N	["Táncos"]
tt0000376	nm0051042	actress	\N	\N
tt0000377	nm0095816	director	\N	\N
tt0000377	nm0666972	producer	producer	\N
tt0000378	nm0462306	actress	\N	\N
tt0000378	nm0815907	actress	\N	\N
tt0000378	nm0349785	director	\N	\N
tt0000379	nm0005717	director	\N	\N
tt0000380	nm0634629	director	co-director	\N
tt0000380	nm0954087	director	co-director	\N
tt0000380	nm0674518	writer	tale	\N
tt0000381	nm0168621	actor	\N	\N
tt0000381	nm0002615	producer	producer	\N
tt0000382	nm0005717	director	\N	\N
tt0000383	nm0005717	director	\N	\N
tt0000384	nm0349785	director	\N	\N
tt0000385	nm0349785	director	\N	\N
tt0000386	nm0349785	director	\N	\N
tt0000387	nm5394591	actor	\N	["Attendant Bearing King Edward's Sword"]
tt0000387	nm0617588	director	\N	\N
tt0000387	nm0881616	director	\N	\N
tt0000388	nm0260089	actress	\N	\N
tt0000388	nm0349785	director	\N	\N
tt0000389	nm0349785	director	\N	\N
tt0000390	nm0349785	director	\N	\N
tt0000391	nm0349785	director	\N	\N
tt0000392	nm0095816	director	\N	\N
tt0000392	nm0666972	producer	producer	\N
tt0000393	nm0349785	director	\N	\N
tt0000394	nm0349785	director	\N	\N
tt0000395	nm0349785	director	\N	\N
tt0000396	nm0349785	director	\N	\N
tt0000397	nm0349785	director	\N	\N
tt0000398	nm0349785	director	\N	\N
tt0000399	nm0924920	actor	\N	["Farmer"]
tt0000399	nm0925513	actor	\N	["Jack"]
tt0000399	nm2092030	director	\N	\N
tt0000399	nm0692105	director	\N	\N
tt0000400	nm0349785	director	\N	\N
tt0000401	nm0349785	director	\N	\N
tt0000402	nm0338379	actor	\N	\N
tt0000402	nm0808310	director	\N	\N
tt0000403	nm0349785	director	\N	\N
tt0000404	nm0349785	director	\N	\N
tt0000405	nm0349785	director	\N	\N
tt0000406	nm0035502	cinematographer	\N	\N
tt0000407	nm0005717	director	\N	\N
tt0000408	nm0349785	director	\N	\N
tt0000409	nm0349785	actress	\N	\N
tt0000409	nm4905952	actress	\N	\N
tt0000409	nm4906549	actress	\N	\N
tt0000410	nm0035502	director	\N	\N
tt0000411	nm0349785	director	\N	\N
tt0000412	nm0555522	director	\N	\N
tt0000413	nm0617588	actor	\N	["The Blonde Miser","Thief"]
tt0000414	nm0542567	actor	\N	["Uncle Josh"]
tt0000414	nm0692105	director	\N	\N
tt0000415	nm0349785	director	\N	\N
tt0000416	nm0954087	director	\N	\N
tt0000416	nm0957652	writer	novel "L'Assommoir"	\N
tt0000417	nm0617588	actor	\N	["Prof. Barbenfouillis","The Moon"]
tt0000417	nm0029244	actor	\N	["Astronomer - Nostradamus"]
tt0000417	nm0076933	actress	\N	["Lady in the Moon"]
tt0000417	nm1215996	actor	\N	["Astronomer- Alcofrisbas"]
tt0000417	nm0894523	writer	novel "De la Terre à la Lune"	\N
tt0000417	nm0920229	writer	novel "First Men in the Moon"	\N
tt0000417	nm0242155	composer	\N	\N
tt0000417	nm0324073	composer	\N	\N
tt0000417	nm4491570	composer	\N	\N
tt0000418	nm0353576	director	\N	\N
tt0000419	nm0349785	director	\N	\N
tt0000420	nm0164281	actress	\N	["Alice"]
tt0000420	nm0378408	actor	\N	["Frog"]
tt0000420	nm1012587	actor	\N	["Large Dog"]
tt0000420	nm0265714	actor	\N	["Card"]
tt0000420	nm0832948	director	\N	\N
tt0000420	nm0140902	writer	novel "Alice's Adventures in Wonderland"	\N
tt0000421	nm0954087	actor	\N	\N
tt0000421	nm0349785	director	\N	\N
tt0000422	nm0954087	actor	\N	["Traveler"]
tt0000422	nm0349785	director	\N	\N
tt0000423	nm0617588	actor	\N	\N
tt0000424	nm0349785	director	\N	\N
tt0000425	nm0168621	actor	\N	\N
tt0000425	nm0783152	producer	producer	\N
tt0000426	nm0168621	actor	\N	\N
tt0000426	nm0002615	producer	producer	\N
tt0000427	nm0349785	director	\N	\N
tt0000428	nm0005717	director	\N	\N
tt0000429	nm0349785	director	\N	\N
tt0000430	nm10102653	actor	\N	["Chess Player"]
tt0000430	nm0666972	director	\N	\N
tt0000431	nm0349785	director	\N	\N
tt0000432	nm0954087	actor	\N	\N
tt0000432	nm0349785	director	\N	\N
tt0000433	nm0349785	director	\N	\N
tt0000434	nm2940350	actress	\N	["Dorothy"]
tt0000434	nm0808310	director	\N	\N
tt0000435	nm0349785	director	\N	\N
tt0000436	nm0095816	director	\N	\N
tt0000436	nm0666972	director	\N	\N
tt0000437	nm0349785	director	\N	\N
tt0000438	nm0349785	director	\N	\N
tt0000439	nm0302368	actor	\N	["Little Boy"]
tt0000439	nm0001908	actor	\N	["Bandit","Shot Passenger","Tenderfoot Dancer"]
tt0000439	nm0007625	actor	\N	["Sheriff"]
tt0000439	nm0055607	actor	\N	\N
tt0000439	nm0055661	actor	\N	["Bandit Who Fires at Camera"]
tt0000439	nm0692105	director	\N	\N
tt0000439	nm1145809	writer	story	\N
tt0000439	nm0807466	cinematographer	\N	\N
tt0000439	nm0131750	actor	\N	["Sheriff"]
tt0000439	nm2313241	actor	\N	["Fourth Bandit"]
tt0000440	nm0617588	actor	\N	["Musketeer"]
tt0000441	nm0159015	director	\N	\N
tt0000441	nm0842605	writer	novel "The Travels of Gulliver"	\N
tt0000442	nm0622273	actress	\N	["Barnemordersken"]
tt0000442	nm1854449	actor	\N	\N
tt0000442	nm0253298	director	\N	\N
tt0000442	nm1856940	writer	writer	\N
tt0000442	nm1857036	writer	writer	\N
tt0000443	nm0742777	director	\N	\N
tt0000443	nm3887135	writer	scenario	\N
tt0000443	nm0519303	writer	poem "The Song of Hiawatha"	\N
tt0000444	nm0954087	actor	\N	["Magician"]
tt0000444	nm0349785	director	\N	\N
tt0000445	nm0349785	director	\N	\N
tt0000446	nm0567363	director	\N	\N
tt0000447	nm0692105	actor	\N	["Policeman"]
tt0000447	nm0891119	actress	\N	["The Girl"]
tt0000447	nm0924475	actor	\N	["The Fireman"]
tt0000447	nm0924920	actor	\N	["Fire Chief"]
tt0000447	nm2092030	director	\N	\N
tt0000448	nm0349785	director	\N	\N
tt0000449	nm0349785	director	\N	\N
tt0000450	nm0349785	director	\N	\N
tt0000451	nm0809419	actress	\N	["Mary Jane"]
tt0000451	nm0808310	director	\N	\N
tt0000452	nm0001908	actor	\N	["Messenger Boy"]
tt0000452	nm0692105	director	\N	\N
tt0000453	nm0349785	director	\N	\N
tt0000454	nm0349785	director	\N	\N
tt0000455	nm0617588	actor	\N	["The Melomaniac"]
tt0000456	nm0005658	cinematographer	\N	\N
tt0000457	nm0349785	director	\N	\N
tt0000458	nm0349785	director	\N	\N
tt0000459	nm0692105	cinematographer	\N	\N
tt0000460	nm0567363	director	\N	\N
tt0000461	nm0349785	director	\N	\N
tt0000462	nm0349785	director	\N	\N
tt0000463	nm0005717	director	\N	\N
tt0000464	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000464	nm0005690	director	\N	\N
tt0000464	nm0099105	writer	play	\N
tt0000464	nm0410331	writer	story	\N
tt0000465	nm0617588	actor	\N	["Prince Bel-Azor"]
tt0000465	nm9473330	actress	\N	["Princess Azurine"]
tt0000465	nm0076933	actress	\N	["Aurora"]
tt0000465	nm0214243	actor	\N	["Role"]
tt0000465	nm1340310	writer	story "La Biche au bois"	\N
tt0000465	nm0243651	actor	\N	["Extra"]
tt0000466	nm0349785	director	\N	\N
tt0000467	nm0349785	director	\N	\N
tt0000468	nm0349785	director	\N	\N
tt0000469	nm0808310	director	\N	\N
tt0000470	nm0349785	director	\N	\N
tt0000471	nm0692105	director	\N	\N
tt0000471	nm0832952	writer	novel "Uncle Tom's Cabin"	\N
tt0000472	nm10342565	actor	\N	["Arthur Shelby"]
tt0000472	nm0002615	actor	\N	["Simon Legree"]
tt0000472	nm0832952	writer	novel "Uncle Tom's Cabin"	\N
tt0000473	nm0349785	director	\N	\N
tt0000474	nm0349785	director	\N	\N
tt0000475	nm3345408	actor	\N	\N
tt0000475	nm0095816	director	\N	\N
tt0000475	nm0666972	producer	producer	\N
tt0000476	nm0349785	director	\N	\N
tt0000477	nm5121267	actor	\N	\N
tt0000477	nm5121475	actor	\N	\N
tt0000477	nm1597962	actor	\N	\N
tt0000477	nm0349785	director	\N	\N
tt0000478	nm0172118	director	\N	\N
tt0000479	nm0666972	director	\N	\N
tt0000480	nm0617588	actor	\N	\N
tt0000481	nm0666972	producer	producer	\N
tt0000482	nm0349785	director	\N	\N
tt0000483	nm0349785	director	\N	\N
tt0000484	nm0349785	director	\N	\N
tt0000485	nm0349785	director	\N	\N
tt0000486	nm0659947	actor	\N	["Monsieur Beaucaire"]
tt0000486	nm1173635	actor	\N	\N
tt0000486	nm0069325	actress	\N	\N
tt0000486	nm0085865	actor	\N	\N
tt0000486	nm0850483	writer	novel	\N
tt0000486	nm0085870	actress	\N	\N
tt0000487	nm0523316	actress	\N	["Little Girl (Telegrapher's daughter)"]
tt0000487	nm0002615	director	\N	\N
tt0000487	nm0292418	cinematographer	\N	\N
tt0000488	nm0177886	actor	\N	["The Minister"]
tt0000488	nm0298300	actor	\N	["Joe, the Newsboy"]
tt0000488	nm0065035	actress	\N	["Joe's Grandmother"]
tt0000488	nm0250480	actor	\N	["Manager of the Fresh Air Fund"]
tt0000488	nm0422465	actress	\N	["Committee Woman"]
tt0000488	nm0789748	director	\N	\N
tt0000488	nm0794919	writer	\N	\N
tt0000488	nm0588295	actress	\N	["Committee Woman"]
tt0000488	nm1096358	actress	\N	["Committee Woman"]
tt0000488	nm0259860	actress	\N	["Committee Woman"]
tt0000489	nm0349785	director	\N	\N
tt0000490	nm0349785	director	\N	\N
tt0000491	nm0005658	cinematographer	\N	\N
tt0000492	nm0567363	director	\N	\N
tt0000492	nm0005658	cinematographer	\N	\N
tt0000493	nm0349785	director	\N	\N
tt0000494	nm0349785	director	\N	\N
tt0000495	nm0954087	director	\N	\N
tt0000495	nm0159015	cinematographer	\N	\N
tt0000496	nm0007625	cinematographer	\N	\N
tt0000496	nm0692105	cinematographer	\N	\N
tt0000498	nm1012587	actor	\N	["Rover the dog"]
tt0000498	nm0164281	actress	\N	["Nursemaid"]
tt0000498	nm0378407	actress	\N	["The baby"]
tt0000498	nm0378408	actor	\N	["Harassed father"]
tt0000498	nm0280432	director	\N	\N
tt0000498	nm1539443	writer	story	\N
tt0000498	nm1428608	actress	\N	["Gypsy woman"]
tt0000498	nm0809910	actor	\N	["Soldier"]
tt0000499	nm0617588	actor	\N	["Mabouloff"]
tt0000499	nm0016317	actress	\N	["Madame Latrouille"]
tt0000499	nm0194945	actress	\N	["Villager at seaport"]
tt0000499	nm8706003	actress	\N	["Nurse in Swiss hospital"]
tt0000499	nm0894523	writer	play "Le Voyage a travers l'Impossible"	\N
tt0000499	nm0257866	writer	play "Le Voyage a travers l'Impossible"	\N
tt0000500	nm0005658	cinematographer	\N	\N
tt0000501	nm0001908	actor	\N	["Sherlock Holmes"]
tt0000501	nm1173635	actor	\N	["John H. Watson, M.D."]
tt0000501	nm0659947	actor	\N	["Bandit"]
tt0000501	nm0792727	actor	\N	["Bandit"]
tt0000501	nm0085865	director	\N	\N
tt0000501	nm0236279	writer	story	\N
tt0000501	nm0509478	writer	scenario	\N
tt0000502	nm0215752	actor	\N	\N
tt0000502	nm0252720	actor	\N	\N
tt0000502	nm0063413	director	\N	\N
tt0000502	nm0657268	writer	\N	\N
tt0000502	nm0675388	writer	\N	\N
tt0000503	nm0185426	director	\N	\N
tt0000504	nm0185426	director	\N	\N
tt0000505	nm0214243	actor	\N	\N
tt0000505	nm0340020	actor	\N	\N
tt0000505	nm0537222	actor	\N	\N
tt0000505	nm0097918	actor	\N	\N
tt0000505	nm1563072	director	\N	\N
tt0000505	nm0381874	director	\N	\N
tt0000506	nm0353576	director	\N	\N
tt0000507	nm0005658	cinematographer	\N	\N
tt0000508	nm0185426	director	\N	\N
tt0000509	nm0214243	actor	\N	\N
tt0000509	nm1563072	director	\N	\N
tt0000509	nm0381874	writer	\N	\N
tt0000509	nm0159015	cinematographer	\N	\N
tt0000510	nm0063413	director	\N	\N
tt0000511	nm0065393	actress	\N	["Esmeralda"]
tt0000511	nm0903455	actor	\N	["Quasimodo"]
tt0000511	nm0349785	director	\N	\N
tt0000511	nm0419327	director	co-director	\N
tt0000511	nm0401076	writer	novel "Notre Dame de Paris"	\N
tt0000511	nm0094975	cinematographer	\N	\N
tt0000511	nm0579494	production_designer	\N	\N
tt0000512	nm0005658	cinematographer	\N	\N
tt0000513	nm0185426	director	\N	\N
tt0000514	nm0016071	actor	\N	\N
tt0000514	nm0602663	actor	\N	\N
tt0000514	nm0661362	actor	\N	\N
tt0000514	nm0684029	actor	\N	\N
tt0000514	nm0005717	director	\N	\N
tt0000514	nm0722712	actor	\N	\N
tt0000514	nm0813578	actor	\N	\N
tt0000514	nm0896066	actor	\N	\N
tt0000514	nm0899837	actress	\N	\N
tt0000515	nm0159015	director	\N	\N
tt0000516	nm0159015	actor	\N	["Bertrand"]
tt0000516	nm0558863	actress	\N	["Laure"]
tt0000517	nm0063413	director	\N	\N
tt0000518	nm0140054	actor	\N	\N
tt0000518	nm0159015	writer	\N	\N
tt0000519	nm1671089	actress	\N	["The Kleptomaniac, Mrs. Banker"]
tt0000519	nm1670497	actor	\N	["Store Detective"]
tt0000519	nm1215402	actress	\N	["Female Detective"]
tt0000519	nm1670913	actor	\N	["Superintendant, Department Store"]
tt0000519	nm0692105	director	\N	\N
tt0000519	nm0250983	actress	\N	["The Thief"]
tt0000519	nm0728289	actor	\N	["Police Court Judge"]
tt0000519	nm0183817	actress	\N	["Justice"]
tt0000520	nm0353575	actor	\N	["Charles Peace"]
tt0000520	nm2329855	actress	\N	["Mrs. Dyson"]
tt0000520	nm2326707	actress	\N	["Peace's Accomplice"]
tt0000520	nm2331275	actor	\N	["Dyson"]
tt0000520	nm0353576	director	\N	\N
tt0000520	nm2329944	actor	\N	["First Policeman"]
tt0000520	nm2485827	actor	\N	["Second Policeman"]
tt0000520	nm4749111	actor	\N	["Third Policeman"]
tt0000520	nm2332493	actress	\N	["Peace's Mother"]
tt0000521	nm0692105	director	\N	\N
tt0000522	nm0005658	cinematographer	\N	\N
tt0000523	nm0005658	cinematographer	\N	\N
tt0000524	nm0005658	director	\N	\N
tt0000524	nm13890136	composer	\N	\N
tt0000525	nm0358349	actor	\N	["Joe - le cow-boy"]
tt0000525	nm0595321	actor	\N	\N
tt0000525	nm0196787	actress	\N	\N
tt0000525	nm0719480	actor	\N	\N
tt0000525	nm0243796	director	\N	\N
tt0000525	nm0357890	actor	\N	\N
tt0000525	nm0014656	actor	\N	\N
tt0000526	nm0005658	cinematographer	\N	\N
tt0000527	nm0185426	director	\N	\N
tt0000528	nm0792727	actor	\N	["Raffles"]
tt0000528	nm0085870	actress	\N	\N
tt0000528	nm0001908	director	\N	\N
tt0000528	nm0696078	writer	play "Raffles, the Amateur Cracksman"	\N
tt0000528	nm0395216	writer	novel	\N
tt0000528	nm0734207	producer	producer	\N
tt0000528	nm0807235	cinematographer	\N	\N
tt0000529	nm0005658	cinematographer	\N	\N
tt0000530	nm0159015	director	\N	\N
tt0000531	nm0140054	actor	\N	\N
tt0000531	nm0159015	director	\N	\N
tt0000532	nm0185426	director	\N	\N
tt0000533	nm0783152	producer	producer	\N
tt0000534	nm0095816	director	\N	\N
tt0000534	nm0666972	producer	producer	\N
tt0000535	nm0422149	actress	\N	["Anarkistens kone"]
tt0000535	nm0488932	actor	\N	["Anarkisten"]
tt0000535	nm0333175	cinematographer	\N	\N
tt0000535	nm0470250	production_designer	\N	\N
tt0000536	nm0691995	actress	\N	\N
tt0000536	nm0691996	actress	\N	\N
tt0000536	nm6758605	director	\N	\N
tt0000536	nm0582268	director	\N	\N
tt0000537	nm0005658	cinematographer	\N	\N
tt0000538	nm0005717	director	\N	\N
tt0000539	nm0647763	director	\N	\N
tt0000541	nm0422149	actress	\N	\N
tt0000541	nm0023121	actor	\N	\N
tt0000541	nm0676941	actor	\N	\N
tt0000541	nm0488932	actor	\N	\N
tt0000541	nm0630737	writer	\N	\N
tt0000541	nm0084830	cinematographer	\N	\N
tt0000542	nm0261789	actress	\N	\N
tt0000542	nm0602663	actor	\N	\N
tt0000542	nm0896066	actor	\N	\N
tt0000542	nm1050849	actor	\N	\N
tt0000542	nm0005717	director	\N	\N
tt0000543	nm0647763	director	\N	\N
tt0000543	nm0084830	cinematographer	\N	\N
tt0000543	nm0333175	cinematographer	\N	\N
tt0000544	nm1210247	director	\N	\N
tt0000544	nm0666972	producer	producer	\N
tt0000545	nm0005658	cinematographer	\N	\N
tt0000546	nm0106151	actor	\N	["The Rarebit Fiend"]
tt0000546	nm0567363	director	\N	\N
tt0000546	nm0692105	director	\N	\N
tt0000546	nm0565560	writer	comic strip	\N
tt0000547	nm0005717	director	\N	\N
tt0000548	nm0488932	actor	\N	["Fisker"]
tt0000548	nm0422149	actress	\N	["hans Kone"]
tt0000548	nm0526168	actor	\N	\N
tt0000548	nm0647763	writer	\N	\N
tt0000548	nm0333175	cinematographer	\N	\N
tt0000549	nm0676941	actor	\N	["Petersen"]
tt0000549	nm0488932	director	\N	\N
tt0000549	nm0333175	cinematographer	\N	\N
tt0000550	nm0454375	self	\N	["Self - King of Denmark"]
tt0000550	nm1678676	self	\N	["Self"]
tt0000550	nm0647763	director	\N	\N
tt0000550	nm0084830	cinematographer	\N	\N
tt0000552	nm0095816	director	\N	\N
tt0000552	nm0666972	producer	producer	\N
tt0000553	nm0659947	actor	\N	\N
tt0000553	nm0710362	actor	\N	\N
tt0000553	nm0085865	director	\N	\N
tt0000554	nm0085865	actor	\N	["Cartoonist"]
tt0000555	nm0421454	actress	\N	["Pigen"]
tt0000555	nm0488932	actor	\N	["Den unge mand"]
tt0000555	nm0526168	actor	\N	["Pigens far"]
tt0000555	nm0630737	writer	\N	\N
tt0000555	nm0333175	cinematographer	\N	\N
tt0000555	nm0470250	production_designer	\N	\N
tt0000556	nm0422149	actress	\N	["Young Lady"]
